# 話者割当レビューシート
#
# 使い方:
# 1. NotebookLM Audio Overview の音声を再生しながら確認
# 2. 各行の [ ] 内に A or B を記入（2人のうちどちらが話しているか）
# 3. 判断できない行は [?] のまま残してよい
# 4. 記入後、tools/import_gold_set.py で JSON に変換
#
# A = 1人目の話者（高い声 or 進行役寄り）
# B = 2人目の話者（低い声 or 聞き手寄り）
# ※ AとBの割当はどちらでもよい。一貫していれば評価できる
#
# 行番号は元テキスト (samples/2026 Global Crisis...txt) の行番号
# 現行の行交互割当: 奇数=A, 偶数=B

# === 冒頭 (L1-20): パターン確立区間 ===
L001 [B] あの、普段私たちが世界地図を見る時って...
L002 [A] ええ、国境線とかあるいは海を渡る巨大な...
L003 [B] はい。まるで自宅の配管設備みたいに...
L004 [A] そうですね。私たちは移動というものを...
L005 [B] で もちょっと想像してみて欲しいんです...
L006 [A] それは恐ろしいシナリオですね。
L007 [B] ええ。そしてさらに不気味なことに...
L008 [A] なるほど。突然地図は単なる地理の授業...
L009 [B] その通りです。移動が恐るべきの兵器へと...
L010 [A] それはまさにチョークポイントつまり完全な...
L011 [B] というわけで今回の徹底考察では...
L012 [A] え、マクロとミクロの視点で ですね。
L013 [B] はい。中東のペルシャワンで起きている...
L014 [A] 分かりました。えっとまずは事実の確認...
L015 [B] はい。そこから一気に中東での戦争に...
L016 [A] ええ、これが現在世界のエネルギー供給...
L017 [B] はい。それが現在は文字通りほぼ0に...
L018 [A] ニュースでは原油価格が1バレル92ドル...
L019 [B] まあ無理もないですね。
L020 [A] この20ドルの急筒というのは現実の...

# === 疑問提起〜電子戦 (L33-46): 質問・応答パターン ===
L033 [B] でもあの1つ根本的な疑問があるんです。
L034 [A] はい。何でしょう?
L035 [B] ホルムズ海峡のような広大な怪域を...
L036 [A] ああ、それは非常に重要なポイントです。
L037 [B] マーシャル初島共和国が先に対して...
L038 [A] イラン革命防衛隊の海軍が展開して...
L039 [B] 電子線ですか?
L040 [A] ええ、彼らは1日に600回以上も...
L041 [B] 偽装通信?つまり船のナビゲーション...
L042 [A] はい。
L043 [B] 要するに自分が運転していてGoogle Map...
L044 [A] まさにその例えの通りです。巨大な石油...
L045 [B] うわあ、それは恐ろしい。
L046 [A] しかも他線に位置を知らせる自動失別...

# === 疑わしい区間 (L53-60): 文分断+外交論 ===
L053 [A] ええ、下も単なるとではなく...核施設へ攻撃を行い...
L054 [B] 175人も
L055 [A] さらにインド用のディエゴガルシア島にある米Aの軍事基地に対して...
L056 [B] いや、ちょっと待ってください。そこがどうにも腑に落ちないんです。
L057 [A] と言いますと、
L058 [B] 表向きは発電を破壊するとか水インフラを壊滅させると...
L059 [A] はい。強烈なレトリックです。
L060 [B] でもその一方でエジプトやカタるイギリスを返した...
L061 [A] ええ、報道の通りです。
L062 [B] 交渉テーブルでは...

# === 話題転換 (L74-80): 中東→国内 ===
L074 [B] なるほどな。国際部隊ではホルムズ海峡という巨大な...
L075 [A] はい。
L076 [B] ではここから視点を大きく変えてアメリカ国内に向けて...
L077 [A] ええ、全く別の手法が使われていますね。
L078 [B] 今国内の移動のチョークポイントである空港が...
L079 [A] はい。アメリカ国内の移動の自由は...DHS の予算枯渇
L080 [B] 5週間も。

# === モバイル監視 (L104-113): 仮定シナリオ ===
L104 [B] あの、ちょっと状況を整理させてください。
L105 [A] はい。
L106 [B] 私がコーヒーを買いに近所の通りを歩いている...
L107 [A] あなたの生態情報は瞬時に2億万以上の画像を含む...
L108 [B] 2億枚!?
L109 [A] ええ、アイデントハートと呼ばれるシステムで...
L110 [B] なるほど。
L111 [B] そして重要なのは彼らはあなたの市権のに関わらず...
L112 [B] 待ってください。仮に私がアメリカ市民で...
L113 [A] はい、残ります。米国市民の非一致の顔写真であっても...

# === 締めくくり (L136-142) ===
L136 [B] そこで最後にこれを聞いているあなたに1つの問いを...
L137 [A] はい。
L138 [B] 貝(海？)を渡る巨大な単価から街角をありく一個人の顔の...
L139 [A] ええ。
L140 [B] もし今後ら全ての統合された監視封鎖システムが...
L141 [A] 究極の問いですね。
L142 [B] 次にあなたが空港のゲートをくぐる時...
